##############################################################################
################################# Enero 2020 #################################
##############################################################################
id,dia,precipitacion
1,10,3.5
2,05,0.35
3,06,05
4,20,1.25
5,21,1.6
6,09,2.98
7,11,0.8
8,25,0.26
9,30,0.92
10,28,_



##############################################################################
################################# Marzo 2020 #################################
##############################################################################
id,dia,precipitacion
1,10,3.5
2,05,0.35
3,06,05
4,20,NA
5,21,1.6
6,09,2.98
7,11,0.8
8,25,0.26
9,30,0.92
10,28,0.14




##############################################################################
################################# Marzo 2019 #################################
##############################################################################
id,dia,precipitacion
1,10,3.5
2,05,0.35
3,06,0.5
4,20,3.5
5,21,1.6
6,09,2.98
7,11,0.8
8,25,
9,30,0.92
10,28,0.14
