"CODDEPTO","DEPARTAMENTO","CODMPIO","MUNICIPIO","AÑO","TOTAL CULTIVOS","TOTAL CULTIVOS ERRADICADOS","INVERSION POST ERRADICACION","INVERSION PROYECTOS PRODUCTIVOS","INVERSION RAPIDA","INVERSION  SOSTENIBILIDAD"
5,"ANTIOQUIA",5040,"ANORÍ","1999",431.69,,,,,
5,"ANTIOQUIA",5120,"CÁCERES","1999",169.66,,,,,
5,"ANTIOQUIA",5250,"EL BAGRE","1999",88.63,,,,,
5,"ANTIOQUIA",5736,"SEGOVIA","1999",189.32,,,,,
5,"ANTIOQUIA",5790,"TARAZÁ","1999",1020.77,,,,,
5,"ANTIOQUIA",5854,"VALDIVIA","1999",131.77,,,,,
5,"ANTIOQUIA",5893,"YONDÓ (Casabe)","1999",430,,,,,
5,"ANTIOQUIA",5895,"ZARAGOZA","1999",76.7,,,,,
5,"ANTIOQUIA",5031,"AMALFI","1999",58.97,,,,,
5,"ANTIOQUIA",5107,"BRICEÑO","1999",17.88,,,,,
5,"ANTIOQUIA",5361,"ITUANGO","1999",223.98,,,,,
5,"ANTIOQUIA",5483,"NARIÑO","1999",50.42,,,,,
5,"ANTIOQUIA",5604,"REMEDIOS","1999",556.4,,,,,
5,"ANTIOQUIA",5647,"SAN ANDRÉS","1999",1.72,,,,,
5,"ANTIOQUIA",5686,"SANTA ROSA DE OSOS","1999",7.13,,,,,
5,"ANTIOQUIA",5858,"VEGACHÍ","1999",82.47,,,,,
5,"ANTIOQUIA",5885,"YALÍ","1999",106.34,,,,,
5,"ANTIOQUIA",5040,"ANORÍ","2000",183.63,,,,,
5,"ANTIOQUIA",5120,"CÁCERES","2000",91.45,,,,,
5,"ANTIOQUIA",5250,"EL BAGRE","2000",63.81,,,,,
5,"ANTIOQUIA",5736,"SEGOVIA","2000",193.74,,,,,
5,"ANTIOQUIA",5790,"TARAZÁ","2000",539.99,4346.3,,,,
5,"ANTIOQUIA",5854,"VALDIVIA","2000",71.12,1912.5,,,,
5,"ANTIOQUIA",5893,"YONDÓ (Casabe)","2000",190.18,,,,,
5,"ANTIOQUIA",5895,"ZARAGOZA","2000",204.2,,,,,
5,"ANTIOQUIA",5031,"AMALFI","2000",96.54,,,,,
5,"ANTIOQUIA",5107,"BRICEÑO","2000",18.16,,,,,
5,"ANTIOQUIA",5134,"CAMPAMENTO","2000",25.07,,,,,
5,"ANTIOQUIA",5154,"CAUCASIA","2000",9.84,,,,,
5,"ANTIOQUIA",5234,"DABEIBA","2000",13.94,,,,,
5,"ANTIOQUIA",5237,"DON MATÍAS","2000",7.4,,,,,
5,"ANTIOQUIA",5284,"FRONTINO","2000",14.12,,,,,
5,"ANTIOQUIA",5310,"GÓMEZ PLATA","2000",14.83,,,,,
5,"ANTIOQUIA",5361,"ITUANGO","2000",121,,,,,
5,"ANTIOQUIA",5425,"MACEO","2000",38.48,,,,,
5,"ANTIOQUIA",5579,"PUERTO BERRÍO","2000",138.31,,,,,
5,"ANTIOQUIA",5604,"REMEDIOS","2000",285.94,,,,,
5,"ANTIOQUIA",5628,"SABANALARGA","2000",9.2,,,,,
5,"ANTIOQUIA",5667,"SAN RAFAEL","2000",9.38,,,,,
5,"ANTIOQUIA",5670,"SAN ROQUE","2000",37.99,,,,,
5,"ANTIOQUIA",5842,"URAMITA","2000",14.57,,,,,
5,"ANTIOQUIA",5858,"VEGACHÍ","2000",8.56,,,,,
5,"ANTIOQUIA",5885,"YALÍ","2000",36.33,,,,,
5,"ANTIOQUIA",5887,"YARUMAL","2000",28.69,,,,,
5,"ANTIOQUIA",5890,"YOLOMBÓ","2000",80.46,,,,,
5,"ANTIOQUIA",5040,"ANORÍ","2001",201.25,,,,,
5,"ANTIOQUIA",5120,"CÁCERES","2001",229.11,,,,,
5,"ANTIOQUIA",5250,"EL BAGRE","2001",452.25,,,,,
5,"ANTIOQUIA",5495,"NECHÍ","2001",15.67,,,,,
5,"ANTIOQUIA",5736,"SEGOVIA","2001",211.64,,,,,
5,"ANTIOQUIA",5756,"SONSÓN","2001",1,,,,,
5,"ANTIOQUIA",5790,"TARAZÁ","2001",684.18,,,,,
5,"ANTIOQUIA",5854,"VALDIVIA","2001",124.2,,,,,
5,"ANTIOQUIA",5893,"YONDÓ (Casabe)","2001",0.74,,,,,
5,"ANTIOQUIA",5895,"ZARAGOZA","2001",281.81,,,,,
5,"ANTIOQUIA",5031,"AMALFI","2001",36.61,,,,,
5,"ANTIOQUIA",5107,"BRICEÑO","2001",24.17,,,,,
5,"ANTIOQUIA",5154,"CAUCASIA","2001",95.11,,,,,
5,"ANTIOQUIA",5234,"DABEIBA","2001",40,,,,,
5,"ANTIOQUIA",5284,"FRONTINO","2001",1,,,,,
5,"ANTIOQUIA",5310,"GÓMEZ PLATA","2001",24.96,,,,,
5,"ANTIOQUIA",5361,"ITUANGO","2001",134.67,,,,,
5,"ANTIOQUIA",5425,"MACEO","2001",7.95,,,,,
5,"ANTIOQUIA",5480,"MUTATÁ","2001",1,,,,,
5,"ANTIOQUIA",5604,"REMEDIOS","2001",443.32,,,,,
5,"ANTIOQUIA",5649,"SAN CARLOS","2001",1,,,,,
5,"ANTIOQUIA",5652,"SAN FRANCISCO","2001",22.85,,,,,
5,"ANTIOQUIA",5660,"SAN LUIS","2001",13.02,,,,,
5,"ANTIOQUIA",5667,"SAN RAFAEL","2001",9.15,,,,,
5,"ANTIOQUIA",5670,"SAN ROQUE","2001",92.01,,,,,
5,"ANTIOQUIA",5686,"SANTA ROSA DE OSOS","2001",3.89,,,,,
5,"ANTIOQUIA",5842,"URAMITA","2001",3.58,,,,,
5,"ANTIOQUIA",5858,"VEGACHÍ","2001",66.41,,,,,
5,"ANTIOQUIA",5885,"YALÍ","2001",89.81,,,,,
5,"ANTIOQUIA",5887,"YARUMAL","2001",2,,,,,
5,"ANTIOQUIA",5890,"YOLOMBÓ","2001",71.94,,,,,
5,"ANTIOQUIA",5040,"ANORÍ","2002",369,,,,,
5,"ANTIOQUIA",5120,"CÁCERES","2002",116,,,,,
5,"ANTIOQUIA",5250,"EL BAGRE","2002",327,107.75,,,,
5,"ANTIOQUIA",5495,"NECHÍ","2002",57,,,,,
5,"ANTIOQUIA",5736,"SEGOVIA","2002",355,,,,,
5,"ANTIOQUIA",5790,"TARAZÁ","2002",337,3213.12,,,,
5,"ANTIOQUIA",5854,"VALDIVIA","2002",50,,,,,
5,"ANTIOQUIA",5893,"YONDÓ (Casabe)","2002",59,,,,,
5,"ANTIOQUIA",5895,"ZARAGOZA","2002",399,,,,,
5,"ANTIOQUIA",5031,"AMALFI","2002",110,,,,,
5,"ANTIOQUIA",5107,"BRICEÑO","2002",17,,,,,
5,"ANTIOQUIA",5134,"CAMPAMENTO","2002",8,,,,,
5,"ANTIOQUIA",5154,"CAUCASIA","2002",26,,,,,
5,"ANTIOQUIA",5310,"GÓMEZ PLATA","2002",2,,,,,
5,"ANTIOQUIA",5361,"ITUANGO","2002",130,,,,,
5,"ANTIOQUIA",5604,"REMEDIOS","2002",534,,,,,
5,"ANTIOQUIA",5628,"SABANALARGA","2002",1,,,,,
5,"ANTIOQUIA",5670,"SAN ROQUE","2002",2,,,,,
5,"ANTIOQUIA",5858,"VEGACHÍ","2002",74,,,,,
5,"ANTIOQUIA",5885,"YALÍ","2002",47,,,,,
5,"ANTIOQUIA",5887,"YARUMAL","2002",2,,,,,
5,"ANTIOQUIA",5890,"YOLOMBÓ","2002",7,,,,,
5,"ANTIOQUIA",5040,"ANORÍ","2003",613.71,181.13,,,,
5,"ANTIOQUIA",5055,"ARGELIA","2003",4,337.8,,,,
5,"ANTIOQUIA",5120,"CÁCERES","2003",537,822.34,,,,
5,"ANTIOQUIA",5250,"EL BAGRE","2003",524,540.04,,,,
5,"ANTIOQUIA",5495,"NECHÍ","2003",125,,,,,
5,"ANTIOQUIA",5736,"SEGOVIA","2003",58,,,,,
5,"ANTIOQUIA",5756,"SONSÓN","2003",55,,,,,
5,"ANTIOQUIA",5790,"TARAZÁ","2003",537,6658.67,,,,
5,"ANTIOQUIA",5854,"VALDIVIA","2003",157,,,,,
5,"ANTIOQUIA",5893,"YONDÓ (Casabe)","2003",85,405.27,,,,
5,"ANTIOQUIA",5895,"ZARAGOZA","2003",505,772.25,,,,
5,"ANTIOQUIA",5031,"AMALFI","2003",74,,,,,
5,"ANTIOQUIA",5107,"BRICEÑO","2003",20,,,,,
5,"ANTIOQUIA",5154,"CAUCASIA","2003",27,,,,,
5,"ANTIOQUIA",5361,"ITUANGO","2003",200,,,,,
5,"ANTIOQUIA",5483,"NARIÑO","2003",2,,,,,
5,"ANTIOQUIA",5490,"NECOCLÍ","2003",78,,,,,
5,"ANTIOQUIA",5604,"REMEDIOS","2003",331,,,,,
5,"ANTIOQUIA",5652,"SAN FRANCISCO","2003",17,,,,,
5,"ANTIOQUIA",5660,"SAN LUIS","2003",18,,,,,
5,"ANTIOQUIA",5665,"SAN PEDRO DE URABÁ","2003",8,,,,,
5,"ANTIOQUIA",5837,"TURBO","2003",151,,,,,
5,"ANTIOQUIA",5858,"VEGACHÍ","2003",75,,,,,
5,"ANTIOQUIA",5885,"YALÍ","2003",46,,,,,
5,"ANTIOQUIA",5890,"YOLOMBÓ","2003",17,,,,,
5,"ANTIOQUIA",5040,"ANORÍ","2004",753,427.8,,,,
5,"ANTIOQUIA",5055,"ARGELIA","2004",21,,,,,
5,"ANTIOQUIA",5120,"CÁCERES","2004",539,941.29,,,,
5,"ANTIOQUIA",5250,"EL BAGRE","2004",546,1461.07,,,,
5,"ANTIOQUIA",5495,"NECHÍ","2004",195,83.23,,,,
5,"ANTIOQUIA",5591,"PUERTO TRIUNFO","2004",,42.7,,,,
5,"ANTIOQUIA",5736,"SEGOVIA","2004",152,636.48,,,,
5,"ANTIOQUIA",5756,"SONSÓN","2004",25,226.22,,,,
5,"ANTIOQUIA",5790,"TARAZÁ","2004",1163,6456.26,,,,
5,"ANTIOQUIA",5854,"VALDIVIA","2004",431,184.47,,,,
5,"ANTIOQUIA",5893,"YONDÓ (Casabe)","2004",86,,,,,
5,"ANTIOQUIA",5895,"ZARAGOZA","2004",416,588.75,,,,
5,"ANTIOQUIA",5031,"AMALFI","2004",173,,,,,
5,"ANTIOQUIA",5107,"BRICEÑO","2004",54,,,,,
5,"ANTIOQUIA",5134,"CAMPAMENTO","2004",62,,,,,
