CODDEPTO,DEPARTAMENTO,1999,2000,2001
05,ANTIOQUIA,30.19,137.37,70.60
08,ATLÁNTICO,,,
13,BOLÍVAR,20.00,43.00,539.00
15,BOYACÁ,44.50,49.00,45.00
17,CALDAS,,,
18,CAQUETÁ,90.25,891.68,27.12
19,CAUCA,2.22,11.50,2.67
23,CÓRDOBA,,13.50,27.00
25,CUNDINAMARCA,,,3.00
41,HUILA,,0.03,3.00
44,LA GUAJIRA,95.00,,
47,MAGDALENA,60.00,34.00,98.93
50,META,0.04,,189.00
52,NARIÑO,212.50,1.00,26.97
54,NORTE DE SANTANDER,15.00,77.00,70.00
68,SANTANDER,23.00,337.00,60.00
73,TOLIMA,,,
76,VALLE DEL CAUCA,,30.00,70.00
81,ARAUCA,76.00,58.00,183.00
86,PUTUMAYO,199.00,"1,819.09",48.00
91,AMAZONAS,150.00,,20.00
94,GUAINÍA,,,
95,GUAVIARE,,,145.00
99,VICHADA,28.00,,117.00
