CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2013,2014,2015,2016
05,ANTIOQUIA,05040,ANORÍ,"52,140,000.00","94,200,000.00","223,700,000.00","600,000.00"
05,ANTIOQUIA,05107,BRICEÑO,"98,670,000.00","54,950,000.00","330,950,000.00",
05,ANTIOQUIA,05120,CÁCERES,"80,520,000.00","43,782,626.00","363,773,438.00",
05,ANTIOQUIA,05154,CAUCASIA,"90,750,000.00","211,159,577.00","249,601,963.00",
05,ANTIOQUIA,05197,COCORNÁ,,"208,800,000.00","350,800,000.00","112,800,000.00"
05,ANTIOQUIA,05250,EL BAGRE,"56,430,000.00","43,049,800.00","14,120,200.00",
05,ANTIOQUIA,05361,ITUANGO,,,"87,600,000.00","1,800,000.00"
05,ANTIOQUIA,05480,MUTATÁ,,"67,600,000.00","146,400,000.00",
05,ANTIOQUIA,05495,NECHÍ,"154,110,000.00","275,463,805.00","481,784,187.00",
05,ANTIOQUIA,05604,REMEDIOS,,"91,600,000.00","89,200,000.00",
05,ANTIOQUIA,05652,SAN FRANCISCO,,,"138,090,966.00","128,400,000.00"
05,ANTIOQUIA,05660,SAN LUIS,,,"52,797,750.00",
05,ANTIOQUIA,05790,TARAZÁ,"64,350,000.00","157,612,787.00","354,783,449.00",
05,ANTIOQUIA,05854,VALDIVIA,"31,020,000.00","42,300,000.00","319,400,000.00","2,400,000.00"
05,ANTIOQUIA,05885,YALÍ,,,"127,200,000.00","3,600,000.00"
05,ANTIOQUIA,05895,ZARAGOZA,"11,220,000.00","29,395,520.00","1,144,749.00",
81,ARAUCA,81065,ARAUQUITA,,,"345,000,000.00","277,800,000.00"
81,ARAUCA,81300,FORTUL,,,"80,400,000.00",
13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,"233,970,000.00",,,
15,BOYACÁ,15223,CUBARÁ,,,"362,800,000.00","4,400,000.00"
17,CALDAS,17495,NORCASIA,"26,730,000.00","36,000,000.00",,
17,CALDAS,17662,SAMANÁ,"581,130,000.00","932,850,000.00",,
18,CAQUETÁ,18029,ALBANIA,"64,350,000.00","224,510,000.00","68,190,000.00",
18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,"260,370,000.00","1,069,170,000.00","226,630,000.00",
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,"27,060,000.00","119,320,000.00","117,480,000.00","1,200,000.00"
18,CAQUETÁ,18205,CURILLO,,"432,800,000.00","262,000,000.00","1,200,000.00"
18,CAQUETÁ,18247,EL DONCELLO,,,"87,000,000.00",
18,CAQUETÁ,18410,MONTAÑITA,"23,430,000.00","95,770,000.00","20,130,000.00",
18,CAQUETÁ,18479,MORELIA,,,"31,800,000.00","34,800,000.00"
18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,,"32,400,000.00","21,200,000.00",
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,,"8,800,000.00","156,400,000.00","9,000,000.00"
18,CAQUETÁ,18785,SOLITA,,"38,400,000.00","95,600,000.00",
18,CAQUETÁ,18860,VALPARAÍSO,"61,710,000.00","189,970,000.00","166,530,000.00",
19,CAUCA,19075,BALBOA,"227,700,000.00","252,418,560.00","1,144,500,000.00","62,400,000.00"
19,CAUCA,19100,BOLÍVAR,"48,180,000.00","64,800,000.00","208,800,000.00",
19,CAUCA,19130,CAJIBÍO,,"226,800,000.00","464,800,000.00","400,000.00"
19,CAUCA,19256,EL TAMBO,,,"248,400,000.00","170,400,000.00"
19,CAUCA,19392,LA SIERRA,"272,910,000.00","447,600,000.00","1,859,295,392.00","5,200,000.00"
19,CAUCA,19450,MERCADERES,,"1,522,460,000.00","1,992,380,000.00",
19,CAUCA,19473,MORALES,,"112,800,000.00","1,449,800,000.00","116,800,000.00"
19,CAUCA,19622,ROSAS,"121,110,000.00","167,400,000.00","417,410,000.00",
19,CAUCA,19785,SUCRE,"177,210,000.00","237,150,000.00","806,750,000.00","49,800,000.00"
19,CAUCA,19809,TIMBIQUÍ,,"471,600,000.00","302,200,000.00","3,800,000.00"
27,CHOCÓ,27050,ATRATO (Yuto),,,"320,587,938.00",
27,CHOCÓ,27150,CARMEN DEL DARIÉN  (Curbaradó),,,"231,000,000.00","2,400,000.00"
27,CHOCÓ,27160,CERTEGUI,,,"122,913,162.00",
27,CHOCÓ,27135,EL CANTÓN DEL SAN PABLO,,,"21,541,482.00",
27,CHOCÓ,27615,RIOSUCIO,,,"357,600,000.00",
27,CHOCÓ,27787,TADÓ,,,"140,230,824.00",
27,CHOCÓ,27800,UNGUÍA,,"54,400,000.00","330,400,000.00",
27,CHOCÓ,27810,UNIÓN PANAMERICANA (Ánimas),,,"111,931,230.00",
23,CÓRDOBA,23466,MONTELÍBANO,,,"5,913,348.00",
23,CÓRDOBA,23580,PUERTO LIBERTADOR,,"411,667,259.00","709,148,909.00","75,000,000.00"
23,CÓRDOBA,23682,SAN JOSÉ DE URÉ,"25,080,000.00","14,193,228.00","99,002,090.00",
