CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2005,2006,2007,2008,2009,2010,2011
91,AMAZONAS,91540,PUERTO NARIÑO,,,,,,,"90,000,000.00"
05,ANTIOQUIA,05250,EL BAGRE,,,,,,"3,607,202.00",
05,ANTIOQUIA,05361,ITUANGO,,,,0.00,,,
05,ANTIOQUIA,05483,NARIÑO,,,,,"487,105,813.00",,
05,ANTIOQUIA,05495,NECHÍ,,,"614,184,557.00",,,0.00,
05,ANTIOQUIA,05490,NECOCLÍ,,,"2,364,243,352.00","1,064,999,110.00","55,500,000.00","88,350,087.00","60,000,000.00"
05,ANTIOQUIA,05649,SAN CARLOS,,,,,"316,855,238.00",,
05,ANTIOQUIA,05659,SAN JUAN DE URABÁ,,,"504,579,994.00","174,724,520.00","38,772,600.00",,
05,ANTIOQUIA,05660,SAN LUIS,,,,"252,000,000.00","100,000,000.00",,
05,ANTIOQUIA,05665,SAN PEDRO DE URABÁ,,,"2,030,272,714.00","473,997,009.00",,"83,196,891.00",
05,ANTIOQUIA,05790,TARAZÁ,,,,"1,130,854,731.00",,0.00,
05,ANTIOQUIA,05837,TURBO,,"30,614,144,000.00","473,437,245.00","179,232,642.00","92,083,333.00","135,007,620.00",
05,ANTIOQUIA,05858,VEGACHÍ,,,,0.00,,,
05,ANTIOQUIA,05885,YALÍ,,,,"510,989,013.00",,,
05,ANTIOQUIA,05895,ZARAGOZA,,,,"25,000,000.00",,0.00,
81,ARAUCA,81065,ARAUQUITA,,"778,365,477.00",,0.00,,,
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88564,PROVIDENCIA Y SANTA CATALINA (Santa Isabel),,,,,,"81,549,788.00","52,468,654.00"
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRÉS,,,,,,"62,503,056.00","130,873,230.00"
13,BOLÍVAR,13160,CANTAGALLO,,,"380,880,515.00",,,,
13,BOLÍVAR,13670,SAN PABLO,,,"3,973,223,513.00","190,777,735.00",,"26,950,000.00","30,000,000.00"
13,BOLÍVAR,13688,SANTA ROSA DEL SUR,,,"6,021,854,547.00","2,420,023,708.00","231,888,960.00","105,800,000.00","30,000,000.00"
13,BOLÍVAR,13744,SIMITÍ,,,"3,303,190,017.00","2,475,913,888.00","118,000,000.00","26,950,000.00","30,000,000.00"
15,BOYACÁ,15507,OTANCHE,,"253,292,200.00","1,003,739,722.00","625,052,731.00","31,460,572.00","15,000,000.00","50,000,000.00"
15,BOYACÁ,15531,PAUNA,,,,"1,056,762,146.00","116,230,770.00","15,000,000.00","50,000,000.00"
15,BOYACÁ,15572,PUERTO BOYACÁ,,,,0.00,,"15,000,000.00","50,000,000.00"
15,BOYACÁ,15681,SAN PABLO DE BORBUR,,,,"980,917,278.00","27,369,820.00","15,000,000.00","50,000,000.00"
17,CALDAS,17444,MARQUETALIA,,,,,"388,228,333.00","35,000,000.00",
17,CALDAS,17541,PENSILVANIA,,,,,"283,228,333.00","48,000,000.00",
17,CALDAS,17662,SAMANÁ,,,,,"338,228,333.00",,
17,CALDAS,17867,VICTORIA,,,,,,"30,000,000.00",
18,CAQUETÁ,18029,ALBANIA,,,"882,443,840.00","151,341,280.00",,,
18,CAQUETÁ,18205,CURILLO,,,,"287,006,720.00",,,
18,CAQUETÁ,18410,MONTAÑITA,,,"190,000,000.00",,"112,554,700.00",,
18,CAQUETÁ,18860,VALPARAÍSO,,,,"161,600,000.00",,,
19,CAUCA,19050,ARGELIA,,,,"53,823,728.00",,,
19,CAUCA,19075,BALBOA,,,,"276,029,401.00","337,177,512.00",,
19,CAUCA,19110,BUENOS AIRES,,,,,"854,016,983.00",,
19,CAUCA,19130,CAJIBÍO,,,"73,625,000.00","850,238,565.00",0.00,,
19,CAUCA,19137,CALDONO,,,,"107,647,457.00",,,
19,CAUCA,19142,CALOTO,,,,,"335,252,318.00",,
19,CAUCA,19212,CORINTO,,,,,"335,252,318.00",,
19,CAUCA,19256,EL TAMBO,,,0.00,"632,883,144.00","4,803,507,139.00",,
19,CAUCA,19290,FLORENCIA,,,,"269,118,642.00",,,
19,CAUCA,19300,GUACHENÉ,,,,,"335,252,318.00",,
19,CAUCA,19392,LA SIERRA,,,"1,845,878,830.00","76,891,041.00",,"32,160,000.00",
19,CAUCA,19397,LA VEGA,,"174,400,233.00","1,758,862,191.00","933,634,859.00","75,244,324.00",,
19,CAUCA,19455,MIRANDA,,,,,"335,252,317.00",,
19,CAUCA,19473,MORALES,,,"49,875,000.00","223,922,002.00","81,866,666.00",,
19,CAUCA,19513,PADILLA,,,,,"335,252,317.00",,
19,CAUCA,19532,PATÍA  (El Bordo),,,,"524,627,898.00",,,
19,CAUCA,19548,PIENDAMÓ,,,,"964,007,776.00",,,
19,CAUCA,19001,POPAYÁN,,,"82,120,577.00","69,201,937.00",,,
19,CAUCA,19573,PUERTO TEJADA,,,,,"335,252,317.00",,
19,CAUCA,19693,SAN SEBASTIÁN,,,"368,929,300.00",,,,
19,CAUCA,19698,SANTANDER DE QUILICHAO,,,,,"854,016,983.00",,
19,CAUCA,19743,SILVIA,,,,"845,318,213.00",,,
19,CAUCA,19780,SUÁREZ,,,,,"854,016,983.00",,
19,CAUCA,19785,SUCRE,,,,0.00,,,
19,CAUCA,19807,TIMBÍO,,,"38,000,000.00","302,696,288.00",,,
19,CAUCA,19845,VILLA RICA,,,,,"335,252,317.00",,
20,CESAR,20011,AGUACHICA,,,,"2,060,624,217.00","40,000,000.00","488,900,416.00","16,666,667.00"
20,CESAR,20045,BECERRIL,,,"9,562,859.00",,,,
20,CESAR,20060,BOSCONIA,,,"9,562,859.00",,,,
20,CESAR,20175,CHIMICHAGUA,,,"9,562,859.00",,,,
20,CESAR,20228,CURUMANÍ,,,"9,562,859.00",,,,
20,CESAR,20238,EL COPEY,,,"9,562,859.00",,,,
20,CESAR,20250,EL PASO,,,"9,562,859.00",,,,
20,CESAR,20383,LA GLORIA,,,,"1,503,238,592.00",,"41,040,000.00",0.00
20,CESAR,20517,PAILITAS,,,"9,562,859.00",,,,
20,CESAR,20570,PUEBLO BELLO,,,,,"558,673,960.00",,
20,CESAR,20614,RÍO DE ORO,,,,"147,365,798.00",,,"20,000,000.00"
20,CESAR,20710,SAN ALBERTO,,,"1,355,787,203.00","2,029,784,558.00","40,000,000.00",0.00,"16,666,667.00"
20,CESAR,20787,TAMALAMEQUE,,,"9,562,859.00",,,,
20,CESAR,20001,VALLEDUPAR,,,,,"558,673,960.00","960,374,206.00","91,922,705.00"
27,CHOCÓ,27006,ACANDÍ,,,"1,190,026,314.00","659,396,947.00","262,246,000.00",,"294,680,750.00"
27,CHOCÓ,27077,BAJO BAUDÓ  (Pizarro),,,,,,0.00,
27,CHOCÓ,27150,CARMEN DEL DARIÉN  (Curbaradó),,,"1,510,790,000.00",,"288,230,320.00",,"175,000,000.00"
27,CHOCÓ,27615,RIOSUCIO,,,"1,862,000,000.00",,"388,230,320.00","102,960,000.00","100,000,000.00"
27,CHOCÓ,27800,UNGUÍA,,,"3,927,409,791.00","1,071,256,771.00","247,673,556.00","294,834,698.00","244,000,000.00"
23,CÓRDOBA,23419,LOS CÓRDOBAS,,,,,,,"56,192,854.00"
23,CÓRDOBA,23466,MONTELÍBANO,,,"3,365,755,462.00","603,479,194.00",,"252,702,468.00",
23,CÓRDOBA,23580,PUERTO LIBERTADOR,,,"268,977,757.00","2,470,203,772.00",,"111,574,969.00",
23,CÓRDOBA,23807,TIERRALTA,,,"69,142,857.00","9,756,166,082.00","54,400,000.00",,
23,CÓRDOBA,23855,VALENCIA,,,"6,117,803,067.00","250,000,000.00","100,600,000.00","630,026,000.00",
