CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2012,2013,2014,2015,2016
05,ANTIOQUIA,05040,ANORÍ,,0.00,,,
05,ANTIOQUIA,05107,BRICEÑO,,"51,330,720.00",,,
05,ANTIOQUIA,05120,CÁCERES,,"49,900,372.00","70,636,852.00","26,270,766.00",
05,ANTIOQUIA,05154,CAUCASIA,"113,887,200.00","49,781,400.00",,,
05,ANTIOQUIA,05250,EL BAGRE,"52,310,921.00",,,"64,475,184.00",
05,ANTIOQUIA,05361,ITUANGO,"101,398,000.00","47,000,010.00",,,
05,ANTIOQUIA,05495,NECHÍ,"154,000,000.00",,,"160,592,318.00",
05,ANTIOQUIA,05790,TARAZÁ,"26,160,000.00",,"190,315,750.00","301,605,563.00",
05,ANTIOQUIA,05819,TOLEDO,,,"617,346,740.00",,
05,ANTIOQUIA,05854,VALDIVIA,"39,110,168.00",,"56,699,996.00",,
81,ARAUCA,81001,ARAUCA,,,"384,185,114.00",,
81,ARAUCA,81065,ARAUQUITA,,,,"173,000,000.00",
81,ARAUCA,81300,FORTUL,,,,"277,714,200.00",
81,ARAUCA,81591,PUERTO RONDÓN,,,"209,721,755.00","54,305,606.00","60,000,000.00"
81,ARAUCA,81736,SARAVENA,,,"38,564,202.00","356,801,230.00",
81,ARAUCA,81794,TAME,,"69,310,760.00",,"107,326,983.00",
13,BOLÍVAR,13244,EL CARMEN DE BOLÍVAR,"962,304,000.00","136,368,224.00","92,139,960.00","235,066,480.00","58,612,634.00"
13,BOLÍVAR,13654,SAN JACINTO,,,,"65,245,408.00",
13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,,,"180,990,204.00",,
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,"987,044,161.00",,,"311,159,000.00",
18,CAQUETÁ,18410,MONTAÑITA,"574,788,787.00",,"339,508,486.00","222,961,404.00","199,000,000.00"
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,"352,563,548.00","479,120,000.00",,"138,314,099.00",
19,CAUCA,19050,ARGELIA,,,,,"70,000,000.00"
19,CAUCA,19075,BALBOA,,,"885,490,227.00",,
19,CAUCA,19110,BUENOS AIRES,,,"694,978,581.00",,
19,CAUCA,19142,CALOTO,"181,285,636.00",0.00,"111,570,906.00","356,660,128.00",
19,CAUCA,19212,CORINTO,"519,693,112.00","61,000,000.00","200,144,284.00","500,896,275.00",
19,CAUCA,19364,JAMBALÓ,,,"630,115,055.00",,
19,CAUCA,19455,MIRANDA,"459,938,080.00","50,560,728.00","125,408,863.00","367,640,728.00",
19,CAUCA,19698,SANTANDER DE QUILICHAO,"61,646,200.00","116,995,469.00","118,067,722.00","386,089,803.00","200,892,200.00"
19,CAUCA,19809,TIMBIQUÍ,,,"671,252,684.00",,
19,CAUCA,19821,TORIBÍO,"754,523,765.00","100,001,100.00","370,595,081.00","39,518,968.00",
20,CESAR,20550,PELAYA,,,"782,013,711.00",,"80,213,420.00"
23,CÓRDOBA,23466,MONTELÍBANO,"588,906,572.00","29,391,900.00","263,940,201.00","106,148,425.00",
23,CÓRDOBA,23580,PUERTO LIBERTADOR,"189,032,376.00","71,858,183.00","165,746,409.00","166,373,140.00",
23,CÓRDOBA,23682,SAN JOSÉ DE URÉ,"140,000,000.00","35,785,800.00","99,631,553.00","86,867,302.00","90,910,000.00"
23,CÓRDOBA,23807,TIERRALTA,"215,020,800.00","65,475,600.00","227,454,309.00","435,659,515.00",
23,CÓRDOBA,23855,VALENCIA,"214,959,971.00","52,441,630.00","167,634,967.00","129,990,350.00",
