CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2012,2013,2014
5,ANTIOQUIA,5031,AMALFI,,16499695,
5,ANTIOQUIA,5040,ANORÍ,10607353,20568112,
5,ANTIOQUIA,5055,ARGELIA,,5424557,
5,ANTIOQUIA,5107,BRICEÑO,,,79765484
5,ANTIOQUIA,5120,CÁCERES,12938640,25088577,
5,ANTIOQUIA,5250,EL BAGRE,,51081246,
5,ANTIOQUIA,5361,ITUANGO,,15369578,
5,ANTIOQUIA,5376,LA CEJA,,51472205,
5,ANTIOQUIA,5480,MUTATÁ,,,12546837
5,ANTIOQUIA,5615,RIONEGRO,,226023,34788958
5,ANTIOQUIA,5697,SANTUARIO,,34068418,
5,ANTIOQUIA,5790,TARAZÁ,,19437996,
5,ANTIOQUIA,5837,TURBO,3613494,37006720,29656160
81,ARAUCA,81065,ARAUQUITA,21797528,,
81,ARAUCA,81300,FORTUL,,8814905,
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88564,PROVIDENCIA Y SANTA CATALINA (Santa Isabel),,2746800000,20531188
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRÉS,,7967547834,83835685
8,ATLANTICO,8001,"BARRANQUILLA (Distrito Especial, Industrial y Portuario)",,3164325,20531188
8,ATLANTICO,8758,SOLEDAD,,,38703108
13,BOLÍVAR,13160,CANTAGALLO,,21020159,
13,BOLÍVAR,13244,EL CARMEN DE BOLÍVAR,20631885,73622480,
13,BOLÍVAR,13442,MARIA LA BAJA,7576681,,37640512
13,BOLÍVAR,13654,SAN JACINTO,8042938,45595602,
13,BOLÍVAR,13670,SAN PABLO,,23280391,53038903
13,BOLÍVAR,13683,SANTA ROSA,,,9124973
13,BOLÍVAR,13688,SANTA ROSA DEL SUR,91269864,176976176,
13,BOLÍVAR,13744,SIMITÍ,,17855834,
15,BOYACÁ,15097,BOAVITA,,2034209,
15,BOYACÁ,15238,DUITAMA,,65650580,1140622
15,BOYACÁ,15507,OTANCHE,14570540,35485645,
15,BOYACÁ,15531,PAUNA,14570540,28252902,
15,BOYACÁ,15638,SÁCHICA,,,5703108
15,BOYACÁ,15681,SAN PABLO DE BORBUR,16319005,31643250,
15,BOYACÁ,15740,SIACHOQUE,,,19960878
15,BOYACÁ,15759,SOGAMOSO,,,4562486
15,BOYACÁ,15808,TINJACÁ,,,58742011
15,BOYACÁ,15820,TÓPAGA,,,7984351
17,CALDAS,17541,PENSILVANIA,11190175,,
17,CALDAS,17867,VICTORIA,37417147,72553451,
18,CAQUETÁ,18001,FLORENCIA,,22828345,
18,CAQUETÁ,18410,MONTAÑITA,,904093,
19,CAUCA,19110,BUENOS AIRES,,,14828080
19,CAUCA,19130,CAJIBÍO,,60061088,59234296
19,CAUCA,19137,CALDONO,,16725718,
19,CAUCA,19256,EL TAMBO,,39328039,73492065
19,CAUCA,19392,LA SIERRA,,103066585,
19,CAUCA,19397,LA VEGA,,48368968,94101280
19,CAUCA,19473,MORALES,,10171045,
19,CAUCA,19513,PADILLA,,,13117148
19,CAUCA,19548,PIENDAMÓ,,15143556,
19,CAUCA,19001,POPAYÁN,,191154551,273749178
19,CAUCA,19698,SANTANDER DE QUILICHAO,,4294441,78546837
19,CAUCA,19760,SOTARÁ (Paispamba),,10623091,82695064
19,CAUCA,19821,TORIBÍO,,,12546837
19,CAUCA,19824,TOTORÓ,,10623091,
20,CESAR,20011,AGUACHICA,,21698228,
20,CESAR,20045,BECERRIL,,14691509,
20,CESAR,20238,EL COPEY,,9040929,
20,CESAR,20517,PAILITAS,,4294441,
20,CESAR,20001,VALLEDUPAR,,2260232,
27,CHOCÓ,27006,ACANDÍ,29374209,56957850,
27,CHOCÓ,27615,RIOSUCIO,,17177764,
27,CHOCÓ,27660,SAN JOSÉ DEL PALMAR,,26670739,
27,CHOCÓ,27800,UNGUÍA,8858888,121087355,
23,CÓRDOBA,23417,LORICA,,14917532,
23,CÓRDOBA,23001,MONTERÍA,,,94515539
23,CÓRDOBA,23675,SAN BERNARDO DEL VIENTO,,,28515540
23,CÓRDOBA,23686,SAN PELAYO,,57574832,
23,CÓRDOBA,23807,TIERRALTA,56417131,109395235,52960878
23,CÓRDOBA,23855,VALENCIA,,,46195174
41,HUILA,41020,ALGECIRAS,6993859,86792914,
41,HUILA,41078,BARAYA,,,12546837
41,HUILA,41132,CAMPOALEGRE,,14465486,
41,HUILA,41306,GIGANTE,,5198534,
41,HUILA,41357,ÍQUIRA,,6780696,
41,HUILA,41359,ISNOS,,16273671,
41,HUILA,41396,LA PLATA,,115045815,
41,HUILA,41001,NEIVA,,,35929579
41,HUILA,41503,OPORAPA,,15143555,
41,HUILA,41548,PITAL,,42040318,33000000
41,HUILA,41551,PITALITO,,31417226,134593346
41,HUILA,41615,RIVERA,17834341,34581552,
41,HUILA,41676,SANTA MARÍA,,26896762,
41,HUILA,41807,TIMANÁ,,25314600,
44,LA GUAJIRA,44090,DIBULLA,8392631,,
