CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2009,2010,2011,2012,2013,2014
05,ANTIOQUIA,05031,AMALFI,200.69,144.28,233.28,248.98,,19.19
05,ANTIOQUIA,05040,ANORÍ,973.08,241.07,"1,015.49",732.44,66.21,138.37
05,ANTIOQUIA,05045,APARTADÓ,,,31.69,,,3.99
05,ANTIOQUIA,05055,ARGELIA,21.06,,,,,
05,ANTIOQUIA,05107,BRICEÑO,,,186.07,17.09,,
05,ANTIOQUIA,05120,CÁCERES,733.52,333.56,"1,889.08","1,478.14",68.66,546.37
05,ANTIOQUIA,05134,CAMPAMENTO,,,,153.14,,
05,ANTIOQUIA,05142,CARACOLÍ,2.78,,,,,
05,ANTIOQUIA,05172,CHIGORODÓ,,,,,57.95,
05,ANTIOQUIA,05250,EL BAGRE,"1,716.34",365.22,"1,753.66",527.74,61.86,395.10
05,ANTIOQUIA,05361,ITUANGO,138.42,,64.61,162.64,57.35,
05,ANTIOQUIA,05475,MURINDÓ,,,,,44.12,
05,ANTIOQUIA,05480,MUTATÁ,,,,,5.22,
05,ANTIOQUIA,05495,NECHÍ,372.85,95.76,848.51,682.96,86.15,193.36
05,ANTIOQUIA,05585,PUERTO NARE,123.39,,,,,
05,ANTIOQUIA,05604,REMEDIOS,,90.82,146.70,169.24,,91.30
05,ANTIOQUIA,05649,SAN CARLOS,0.20,,,,50.92,
05,ANTIOQUIA,05652,SAN FRANCISCO,217.22,,,,,
05,ANTIOQUIA,05660,SAN LUIS,409.07,,,,,
05,ANTIOQUIA,05670,SAN ROQUE,1.97,,,,,
05,ANTIOQUIA,05736,SEGOVIA,278.12,66.22,326.87,316.26,,177.15
05,ANTIOQUIA,05756,SONSÓN,318.65,,,,7.29,
05,ANTIOQUIA,05790,TARAZÁ,"2,678.35","1,361.81","2,301.82","1,876.47",234.66,361.06
05,ANTIOQUIA,05837,TURBO,,,,11.24,115.25,
05,ANTIOQUIA,05854,VALDIVIA,536.11,39.18,332.19,373.44,50.76,52.44
05,ANTIOQUIA,05858,VEGACHÍ,,,,17.62,,
05,ANTIOQUIA,05873,VIGÍA DEL FUERTE,,,,,28.98,
05,ANTIOQUIA,05885,YALÍ,,,,1.67,,
05,ANTIOQUIA,05887,YARUMAL,,,,1.95,,
05,ANTIOQUIA,05893,YONDÓ,190.01,69.71,176.90,6.29,8.56,
05,ANTIOQUIA,05895,ZARAGOZA,369.47,218.01,539.91,193.73,,84.77
13,BOLÍVAR,13006,ACHÍ,230.11,228.56,226.37,95.27,,
13,BOLÍVAR,13030,ALTOS DEL ROSARIO,158.65,,34.00,,8.78,
13,BOLÍVAR,13042,ARENAL,214.23,,56.18,14.16,57.72,
13,BOLÍVAR,13074,BARRANCO DE LOBA,,,7.02,,,
13,BOLÍVAR,13160,CANTAGALLO,"2,533.53",510.92,371.55,337.92,246.02,
13,BOLÍVAR,13458,MONTECRISTO,653.34,965.59,"1,044.08","1,055.82",122.24,266.31
13,BOLÍVAR,13473,MORALES,290.52,64.69,135.68,9.76,113.29,
13,BOLÍVAR,13600,RÍO VIEJO,398.43,186.24,181.90,63.84,91.92,
13,BOLÍVAR,13654,SAN JACINTO,,,,,,36.05
13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,310.20,381.03,379.34,171.82,,30.23
13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,195.02,,9.29,,,
13,BOLÍVAR,13670,SAN PABLO,"1,685.76","1,018.63",66.42,147.21,591.35,
13,BOLÍVAR,13688,SANTA ROSA DEL SUR,"1,467.28",503.55,502.87,417.41,376.08,78.68
13,BOLÍVAR,13744,SIMITÍ,402.92,473.40,388.41,30.02,270.84,
13,BOLÍVAR,13810,TIQUISIO,174.55,79.35,160.70,397.15,46.90,
