CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2015
05,ANTIOQUIA,05031,AMALFI,60.08
05,ANTIOQUIA,05038,ANGOSTURA,52.35
05,ANTIOQUIA,05040,ANORÍ,157.03
05,ANTIOQUIA,05045,APARTADÓ,26.56
05,ANTIOQUIA,05120,CÁCERES,630.61
05,ANTIOQUIA,05125,CAICEDO,77.39
05,ANTIOQUIA,05250,EL BAGRE,411.20
05,ANTIOQUIA,05361,ITUANGO,96.58
05,ANTIOQUIA,05495,NECHÍ,59.10
05,ANTIOQUIA,05604,REMEDIOS,86.98
05,ANTIOQUIA,05665,SAN PEDRO DE URABÁ,15.74
05,ANTIOQUIA,05736,SEGOVIA,177.63
05,ANTIOQUIA,05790,TARAZÁ,928.71
05,ANTIOQUIA,05837,TURBO,198.84
05,ANTIOQUIA,05854,VALDIVIA,141.71
05,ANTIOQUIA,05895,ZARAGOZA,132.60
13,BOLÍVAR,13006,ACHÍ,67.23
13,BOLÍVAR,13160,CANTAGALLO,136.65
13,BOLÍVAR,13458,MONTECRISTO,246.75
13,BOLÍVAR,13490,NOROSÍ,9.24
13,BOLÍVAR,13600,RÍO VIEJO,32.50
13,BOLÍVAR,13654,SAN JACINTO,28.62
13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,20.39
13,BOLÍVAR,13670,SAN PABLO,211.30
13,BOLÍVAR,13688,SANTA ROSA DEL SUR,176.73
13,BOLÍVAR,13744,SIMITÍ,144.62
13,BOLÍVAR,13810,TIQUISIO,146.80
18,CAQUETÁ,18001,FLORENCIA,18.23
18,CAQUETÁ,18029,ALBANIA,13.96
18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,151.85
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,808.03
18,CAQUETÁ,18205,CURILLO,379.74
18,CAQUETÁ,18247,EL DONCELLO,88.08
18,CAQUETÁ,18256,EL PAUJÍL,643.08
18,CAQUETÁ,18410,LA MONTAÑITA,990.98
18,CAQUETÁ,18460,MILÁN,352.26
18,CAQUETÁ,18592,PUERTO RICO,280.96
18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,445.27
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,447.25
18,CAQUETÁ,18756,SOLANO,515.19
18,CAQUETÁ,18785,SOLITA,49.56
18,CAQUETÁ,18860,VALPARAÍSO,16.71
19,CAUCA,19256,EL TAMBO,35.86
19,CAUCA,19318,GUAPÍ,294.15
19,CAUCA,19418,LÓPEZ DE MICAY,744.33
